id,id_short,municipio,group,year,value
0200302002,02002,Albacete,renta_media_por_persona,2016,10766
0200302004,02004,Albacete,renta_media_por_persona,2016,10019
0200302010,02010,Albacete,renta_media_por_persona,2016,10342
0200302005,02005,Albacete,renta_media_por_persona,2016,8565
0200302006,02006,Albacete,renta_media_por_persona,2016,8565
0200302008,02008,Albacete,renta_media_por_persona,2016,7910
0200302012,02012,Albacete,renta_media_por_persona,2016,9657
0200302015,02015,Albacete,renta_media_por_persona,2016,8378
0200302019,02019,Albacete,renta_media_por_persona,2016,7585
0200302020,02020,Albacete,renta_media_por_persona,2016,7160
0200302024,02024,Albacete,renta_media_por_persona,2016,12176
0200302009,02009,Albacete,renta_media_por_persona,2016,11061
0200302014,02014,Albacete,renta_media_por_persona,2016,9134
0200302003,02003,Albacete,renta_media_por_persona,2016,11885
0200302007,02007,Albacete,renta_media_por_persona,2016,8467
0200302013,02013,Albacete,renta_media_por_persona,2016,13699
0200302017,02017,Albacete,renta_media_por_persona,2016,8630
0200302022,02022,Albacete,renta_media_por_persona,2016,10715
0200302011,02011,Albacete,renta_media_por_persona,2016,9539
0200302018,02018,Albacete,renta_media_por_persona,2016,11248
0200302021,02021,Albacete,renta_media_por_persona,2016,9127
0200302023,02023,Albacete,renta_media_por_persona,2016,8853
0200302016,02016,Albacete,renta_media_por_persona,2016,11154
0200401001,01001,Albatana,renta_media_por_persona,2016,8082
0200501001,01001,Alborea,renta_media_por_persona,2016,7573
0200601001,01001,Alcadozo,renta_media_por_persona,2016,8100
0200701001,01001,Alcalá del Júcar,renta_media_por_persona,2016,8352
0200801002,01002,Alcaraz,renta_media_por_persona,2016,8317
0200801001,01001,Alcaraz,renta_media_por_persona,2016,8323
0200901002,01002,Almansa,renta_media_por_persona,2016,10751
0200901001,01001,Almansa,renta_media_por_persona,2016,8628
0200903004,03004,Almansa,renta_media_por_persona,2016,10266
0200903003,03003,Almansa,renta_media_por_persona,2016,8830
0200903002,03002,Almansa,renta_media_por_persona,2016,8995
0200903006,03006,Almansa,renta_media_por_persona,2016,9509
0200903008,03008,Almansa,renta_media_por_persona,2016,9613
0200903001,03001,Almansa,renta_media_por_persona,2016,9687
0200903007,03007,Almansa,renta_media_por_persona,2016,8988
0200903009,03009,Almansa,renta_media_por_persona,2016,8454
0200903005,03005,Almansa,renta_media_por_persona,2016,13011
0200904002,04002,Almansa,renta_media_por_persona,2016,8720
0200904003,04003,Almansa,renta_media_por_persona,2016,8500
0200904001,04001,Almansa,renta_media_por_persona,2016,8351
0200904004,04004,Almansa,renta_media_por_persona,2016,10725
0200902002,02002,Almansa,renta_media_por_persona,2016,9432
0200902003,02003,Almansa,renta_media_por_persona,2016,8585
0200902001,02001,Almansa,renta_media_por_persona,2016,9432
0201001001,01001,Alpera,renta_media_por_persona,2016,7722
0201002001,02001,Alpera,renta_media_por_persona,2016,7442
0201101001,01001,Ayna,renta_media_por_persona,2016,10209
0201201001,01001,Balazote,renta_media_por_persona,2016,8749
0201201002,01002,Balazote,renta_media_por_persona,2016,8501
0201401001,01001,"Ballestero, El",renta_media_por_persona,2016,8469
0201301001,01001,Balsa de Ves,renta_media_por_persona,2016,9809
0201501001,01001,Barrax,renta_media_por_persona,2016,7902
0201601001,01001,Bienservida,renta_media_por_persona,2016,8284
0201701001,01001,Bogarra,renta_media_por_persona,2016,7698
0201801001,01001,Bonete,renta_media_por_persona,2016,8442
0201901002,01002,"Bonillo, El",renta_media_por_persona,2016,8364
0201901001,01001,"Bonillo, El",renta_media_por_persona,2016,8225
0201901003,01003,"Bonillo, El",renta_media_por_persona,2016,7955
0202001001,01001,Carcelén,renta_media_por_persona,2016,8431
0202101001,01001,Casas de Juan Núñez,renta_media_por_persona,2016,8257
0202201001,01001,Casas de Lázaro,renta_media_por_persona,2016,10236
0202301001,01001,Casas de Ves,renta_media_por_persona,2016,8690
0202401001,01001,Casas-Ibáñez,renta_media_por_persona,2016,8623
0202401002,01002,Casas-Ibáñez,renta_media_por_persona,2016,8258
0202402001,02001,Casas-Ibáñez,renta_media_por_persona,2016,8316
0202501001,01001,Caudete,renta_media_por_persona,2016,8966
0202501002,01002,Caudete,renta_media_por_persona,2016,7453
0202501003,01003,Caudete,renta_media_por_persona,2016,8385
0202501007,01007,Caudete,renta_media_por_persona,2016,8568
0202501005,01005,Caudete,renta_media_por_persona,2016,6484
0202501006,01006,Caudete,renta_media_por_persona,2016,8558
0202501004,01004,Caudete,renta_media_por_persona,2016,8595
0202601001,01001,Cenizate,renta_media_por_persona,2016,6471
0202902001,02001,Chinchilla de Monte-Aragón,renta_media_por_persona,2016,9790
0202901001,01001,Chinchilla de Monte-Aragón,renta_media_por_persona,2016,9199
0202701001,01001,Corral-Rubio,renta_media_por_persona,2016,10028
0202801001,01001,Cotillas,renta_media_por_persona,2016,8231
0203002001,02001,Elche de la Sierra,renta_media_por_persona,2016,8358
0203001001,01001,Elche de la Sierra,renta_media_por_persona,2016,7762
0203101001,01001,Férez,renta_media_por_persona,2016,8049
0203201001,01001,Fuensanta,renta_media_por_persona,2016,8968
0203301001,01001,Fuente-Álamo,renta_media_por_persona,2016,7460
0203301002,01002,Fuente-Álamo,renta_media_por_persona,2016,7395
0203401001,01001,Fuentealbilla,renta_media_por_persona,2016,7793
