id,id_short,municipio,group,year,value
0200301008,01008,Albacete,renta_media_por_hogar,2016,28707
0200301013,01013,Albacete,renta_media_por_hogar,2016,33123
0200302001,02001,Albacete,renta_media_por_hogar,2016,31834
0200302002,02002,Albacete,renta_media_por_hogar,2016,28113
0200302004,02004,Albacete,renta_media_por_hogar,2016,26836
0200302010,02010,Albacete,renta_media_por_hogar,2016,27869
0200302005,02005,Albacete,renta_media_por_hogar,2016,23221
0200302006,02006,Albacete,renta_media_por_hogar,2016,23055
0200302008,02008,Albacete,renta_media_por_hogar,2016,22561
0200302012,02012,Albacete,renta_media_por_hogar,2016,27094
0200302015,02015,Albacete,renta_media_por_hogar,2016,23310
0200302019,02019,Albacete,renta_media_por_hogar,2016,22770
0200302020,02020,Albacete,renta_media_por_hogar,2016,21923
0200302024,02024,Albacete,renta_media_por_hogar,2016,29067
0200302009,02009,Albacete,renta_media_por_hogar,2016,31403
0200302014,02014,Albacete,renta_media_por_hogar,2016,25566
0200302003,02003,Albacete,renta_media_por_hogar,2016,31986
0200302007,02007,Albacete,renta_media_por_hogar,2016,22666
0200302013,02013,Albacete,renta_media_por_hogar,2016,36582
0200302017,02017,Albacete,renta_media_por_hogar,2016,23778
0200302022,02022,Albacete,renta_media_por_hogar,2016,33335
0200302011,02011,Albacete,renta_media_por_hogar,2016,25692
0200302018,02018,Albacete,renta_media_por_hogar,2016,30888
0200302021,02021,Albacete,renta_media_por_hogar,2016,25791
0200302023,02023,Albacete,renta_media_por_hogar,2016,25267
0200302016,02016,Albacete,renta_media_por_hogar,2016,30169
0200401001,01001,Albatana,renta_media_por_hogar,2016,18217
0200501001,01001,Alborea,renta_media_por_hogar,2016,17050
0200601001,01001,Alcadozo,renta_media_por_hogar,2016,18833
0200701001,01001,Alcalá del Júcar,renta_media_por_hogar,2016,18191
0200801002,01002,Alcaraz,renta_media_por_hogar,2016,21837
0200801001,01001,Alcaraz,renta_media_por_hogar,2016,19936
0200901002,01002,Almansa,renta_media_por_hogar,2016,27174
0200901001,01001,Almansa,renta_media_por_hogar,2016,21431
0200903004,03004,Almansa,renta_media_por_hogar,2016,27137
0200903003,03003,Almansa,renta_media_por_hogar,2016,22997
0200903002,03002,Almansa,renta_media_por_hogar,2016,23963
0200903006,03006,Almansa,renta_media_por_hogar,2016,24337
0200903008,03008,Almansa,renta_media_por_hogar,2016,27045
0200903001,03001,Almansa,renta_media_por_hogar,2016,23319
0200903007,03007,Almansa,renta_media_por_hogar,2016,24815
0200903009,03009,Almansa,renta_media_por_hogar,2016,23284
0200903005,03005,Almansa,renta_media_por_hogar,2016,35427
0200904002,04002,Almansa,renta_media_por_hogar,2016,22432
0200904003,04003,Almansa,renta_media_por_hogar,2016,21427
0200904001,04001,Almansa,renta_media_por_hogar,2016,20509
0200904004,04004,Almansa,renta_media_por_hogar,2016,26465
0200902002,02002,Almansa,renta_media_por_hogar,2016,24814
0200902003,02003,Almansa,renta_media_por_hogar,2016,22395
0200902001,02001,Almansa,renta_media_por_hogar,2016,24340
