Atlas de Distribución de Renta de los Hogares
Burgos
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
09029 Atapuerca	11947.0	13340.0	24159.0	26973.0	
0902901 Atapuerca distrito 01	11947.0	13340.0	24159.0	26973.0	
0902901001 Atapuerca sección 01001	11947.0	13340.0	24159.0	26973.0	
09030 Ausines, Los	13501.0	14324.0	28057.0	27767.0	
0903001 Ausines, Los distrito 01	13501.0	14324.0	28057.0	27767.0	
0903001001 Ausines, Los sección 01001	13501.0	14324.0	28057.0	27767.0	
09032 Avellanosa de Muñó	12993.0	11370.0	24885.0	22153.0	
0903201 Avellanosa de Muñó distrito 01	12993.0	11370.0	24885.0	22153.0	
0903201001 Avellanosa de Muñó sección 01001	12993.0	11370.0	24885.0	22153.0	
09033 Bahabón de Esgueva	.	.	.	.	
0903301 Bahabón de Esgueva distrito 01	.	.	.	.	
0903301001 Bahabón de Esgueva sección 01001	.	.	.	.	
09034 Balbases, Los	12983.0	11645.0	30733.0	27965.0	
0903401 Balbases, Los distrito 01	12983.0	11645.0	30733.0	27965.0	
0903401001 Balbases, Los sección 01001	12983.0	11645.0	30733.0	27965.0	
09035 Baños de Valdearados	11069.0	10583.0	25779.0	25066.0	
0903501 Baños de Valdearados distrito 01	11069.0	10583.0	25779.0	25066.0	
0903501001 Baños de Valdearados sección 01001	11069.0	10583.0	25779.0	25066.0	
09036 Bañuelos de Bureba	.	.	.	.	
0903601 Bañuelos de Bureba distrito 01	.	.	.	.	
0903601001 Bañuelos de Bureba sección 01001	.	.	.	.	
09037 Barbadillo de Herreros	15763.0	15465.0	31239.0	30655.0	
0903701 Barbadillo de Herreros distrito 01	15763.0	15465.0	31239.0	30655.0	
0903701001 Barbadillo de Herreros sección 01001	15763.0	15465.0	31239.0	30655.0	
09038 Barbadillo del Mercado	13189.0	12744.0	25996.0	25112.0	
0903801 Barbadillo del Mercado distrito 01	13189.0	12744.0	25996.0	25112.0	
0903801001 Barbadillo del Mercado sección 01001	13189.0	12744.0	25996.0	25112.0	
09039 Barbadillo del Pez	.	.	.	.	
0903901 Barbadillo del Pez distrito 01	.	.	.	.	
0903901001 Barbadillo del Pez sección 01001	.	.	.	.	
09041 Barrio de Muñó	.	.	.	.	
0904101 Barrio de Muñó distrito 01	.	.	.	.	
0904101001 Barrio de Muñó sección 01001	.	.	.	.	
09043 Barrios de Bureba, Los	13204.0	13122.0	25037.0	25502.0	
0904301 Barrios de Bureba, Los distrito 01	13204.0	13122.0	25037.0	25502.0	
0904301001 Barrios de Bureba, Los sección 01001	13204.0	13122.0	25037.0	25502.0	
09044 Barrios de Colina	.	.	.	.	
0904401 Barrios de Colina distrito 01	.	.	.	.	
0904401001 Barrios de Colina sección 01001	.	.	.	.	
09045 Basconcillos del Tozo	11018.0	12895.0	23576.0	27782.0	
0904501 Basconcillos del Tozo distrito 01	11018.0	12895.0	23576.0	27782.0	
0904501001 Basconcillos del Tozo sección 01001	11018.0	12895.0	23576.0	27782.0	
09046 Bascuñana	.	.	.	.	
0904601 Bascuñana distrito 01	.	.	.	.	
0904601001 Bascuñana sección 01001	.	.	.	.	
09047 Belbimbre	.	.	.	.	
0904701 Belbimbre distrito 01	.	.	.	.	
0904701001 Belbimbre sección 01001	.	.	.	.	
09048 Belorado	10697.0	10384.0	24111.0	23521.0	
0904801 Belorado distrito 01	10697.0	10384.0	24111.0	23521.0	
0904801001 Belorado sección 01001	10562.0	10308.0	25054.0	24281.0	
0904801002 Belorado sección 01002	10989.0	10545.0	22366.0	22085.0	
09050 Berberana	.	.	.	.	
0905001 Berberana distrito 01	.	.	.	.	
0905001001 Berberana sección 01001	.	.	.	.	
09051 Berlangas de Roa	12149.0	12251.0	26757.0	27529.0	
0905101 Berlangas de Roa distrito 01	12149.0	12251.0	26757.0	27529.0	
0905101001 Berlangas de Roa sección 01001	12149.0	12251.0	26757.0	27529.0	
09052 Berzosa de Bureba	.	.	.	.	
0905201 Berzosa de Bureba distrito 01	.	.	.	.	
0905201001 Berzosa de Bureba sección 01001	.	.	.	.	
09054 Bozoó	10927.0	11103.0	25416.0	25344.0	
0905401 Bozoó distrito 01	10927.0	11103.0	25416.0	25344.0	
0905401001 Bozoó sección 01001	10927.0	11103.0	25416.0	25344.0	
09055 Brazacorta	.	.	.	.	
0905501 Brazacorta distrito 01	.	.	.	.	
0905501001 Brazacorta sección 01001	.	.	.	.	
09056 Briviesca	10065.0	9769.0	24598.0	23911.0	
0905601 Briviesca distrito 01	10065.0	9769.0	24598.0	23911.0	
0905601001 Briviesca sección 01001	9753.0	9397.0	24720.0	23927.0	
0905601002 Briviesca sección 01002	10394.0	10277.0	24844.0	24433.0	
0905601003 Briviesca sección 01003	9271.0	8999.0	22253.0	21408.0	
0905601004 Briviesca sección 01004	10636.0	10265.0	25704.0	25034.0	
09057 Bugedo	14420.0	12671.0	30203.0	26676.0	
0905701 Bugedo distrito 01	14420.0	12671.0	30203.0	26676.0	
0905701001 Bugedo sección 01001	14420.0	12671.0	30203.0	26676.0	
09058 Buniel	11830.0	10937.0	27604.0	27168.0	
0905801 Buniel distrito 01	11830.0	10937.0	27604.0	27168.0	
0905801001 Buniel sección 01001	11830.0	10937.0	27604.0	27168.0	
09059 Burgos	13012.0	12696.0	31694.0	31103.0	
0905901 Burgos distrito 01	13557.0	13158.0	27057.0	26225.0	
0905901001 Burgos sección 01001	14544.0	14023.0	28297.0	27291.0	
0905901002 Burgos sección 01002	12669.0	12374.0	25887.0	25214.0	
0905902 Burgos distrito 02	17699.0	17054.0	38262.0	37035.0	
0905902001 Burgos sección 02001	16830.0	15025.0	37222.0	33462.0	
0905902002 Burgos sección 02002	19778.0	20465.0	43713.0	44740.0	
0905902003 Burgos sección 02003	15518.0	15146.0	31944.0	30883.0	
0905902004 Burgos sección 02004	17775.0	17088.0	35160.0	34551.0	
0905902005 Burgos sección 02005	18843.0	17992.0	44020.0	42477.0	
0905903 Burgos distrito 03	12336.0	12133.0	30195.0	29661.0	
0905903001 Burgos sección 03001	15796.0	15144.0	37210.0	35759.0	
0905903002 Burgos sección 03002	16294.0	15002.0	38141.0	35756.0	
0905903003 Burgos sección 03003	11675.0	11431.0	27747.0	27447.0	
0905903004 Burgos sección 03004	9852.0	9732.0	21912.0	22348.0	
0905903005 Burgos sección 03005	11821.0	11498.0	32441.0	30912.0	
0905903006 Burgos sección 03006	11778.0	11697.0	27384.0	27033.0	
0905903007 Burgos sección 03007	15002.0	16396.0	34860.0	38206.0	
0905903008 Burgos sección 03008	12216.0	11731.0	30000.0	28697.0	
0905903009 Burgos sección 03009	11597.0	11882.0	30222.0	29100.0	
0905903010 Burgos sección 03010	10531.0	10160.0	28183.0	27278.0	
0905903011 Burgos sección 03011	12468.0	11985.0	28394.0	28130.0	
0905904 Burgos distrito 04	11228.0	10945.0	24239.0	23918.0	
0905904001 Burgos sección 04001	10425.0	10198.0	24246.0	23814.0	
0905904002 Burgos sección 04002	13119.0	12692.0	27769.0	27429.0	
0905904003 Burgos sección 04003	10659.0	10241.0	21772.0	21787.0	
0905904004 Burgos sección 04004	11367.0	11238.0	23541.0	23001.0	
0905905 Burgos distrito 05	14319.0	13921.0	35064.0	34347.0	
0905905001 Burgos sección 05001	12702.0	12167.0	30370.0	29619.0	
0905905002 Burgos sección 05002	14339.0	13697.0	32028.0	30014.0	
0905905003 Burgos sección 05003	12538.0	12828.0	31997.0	31651.0	
0905905004 Burgos sección 05004	13385.0	13005.0	29430.0	28933.0	
0905905005 Burgos sección 05005	12774.0	12061.0	27258.0	26232.0	
0905905006 Burgos sección 05006	21926.0	21115.0	50301.0	49944.0	
0905905007 Burgos sección 05007	18181.0	17774.0	43168.0	41754.0	
0905905008 Burgos sección 05008	14618.0	14153.0	31880.0	31357.0	
0905905009 Burgos sección 05009	12977.0	12923.0	28789.0	28716.0	
0905905010 Burgos sección 05010	13335.0	12845.0	31845.0	30527.0	
0905905011 Burgos sección 05011	14555.0	14687.0	38780.0	39024.0	
0905905012 Burgos sección 05012	13391.0	12395.0	33291.0	31341.0	
0905905013 Burgos sección 05013	12341.0	11139.0	26352.0	24602.0	
0905905014 Burgos sección 05014	8550.0	8194.0	22498.0	21707.0	
0905905015 Burgos sección 05015	14522.0	14417.0	33346.0	33318.0	
0905905016 Burgos sección 05016	15452.0	14720.0	33048.0	32503.0	
0905905017 Burgos sección 05017	16412.0	16520.0	38390.0	39356.0	
0905905018 Burgos sección 05018	20693.0	20258.0	47950.0	47330.0	
0905905019 Burgos sección 05019	16694.0	16862.0	40667.0	41240.0	
0905905020 Burgos sección 05020	11762.0	11168.0	26407.0	25643.0	
0905905021 Burgos sección 05021	13512.0	13183.0	31159.0	30879.0	
0905905022 Burgos sección 05022	14618.0	13737.0	33327.0	31005.0	
0905905023 Burgos sección 05023	14024.0	13725.0	32083.0	32229.0	
0905905024 Burgos sección 05024	12598.0	12349.0	31840.0	30845.0	
0905905025 Burgos sección 05025	15201.0	14832.0	34377.0	34149.0	
0905905026 Burgos sección 05026	22501.0	21476.0	56761.0	54909.0	
0905905027 Burgos sección 05027	21692.0	20972.0	50987.0	49438.0	
0905905028 Burgos sección 05028	19778.0	19211.0	51768.0	51294.0	
0905905029 Burgos sección 05029	16350.0	15062.0	35540.0	33145.0	
0905905030 Burgos sección 05030	9375.0	9058.0	24103.0	23874.0	
0905905031 Burgos sección 05031	16980.0	16744.0	41465.0	41013.0	
0905905032 Burgos sección 05032	16157.0	16177.0	39862.0	39938.0	
0905905033 Burgos sección 05033	13470.0	12843.0	36839.0	35807.0	
0905905034 Burgos sección 05034	13894.0	13610.0	29886.0	29645.0	
0905905035 Burgos sección 05035	13087.0	12882.0	39387.0	38621.0	
0905905036 Burgos sección 05036	19566.0	19014.0	45972.0	45498.0	
0905905037 Burgos sección 05037	21561.0	20318.0	53147.0	50852.0	
0905905038 Burgos sección 05038	13664.0	13513.0	36598.0	36772.0	
0905905039 Burgos sección 05039	10713.0	10265.0	26628.0	26179.0	
