Atlas de Distribución de Renta de los Hogares
Teruel
Indicadores de renta media
Unidades: Euros
	Renta media por persona 		Renta media por hogar		
4402601001 Arcos de las Salinas sección 01001	8325.0	7747.0	18598.0	17471.0	
44027 Arens de Lledó	6369.0	6594.0	17276.0	17733.0	
4402701 Arens de Lledó distrito 01	6369.0	6594.0	17276.0	17733.0	
4402701001 Arens de Lledó sección 01001	6369.0	6594.0	17276.0	17733.0	
44028 Argente	9612.0	9281.0	23136.0	22603.0	
4402801 Argente distrito 01	9612.0	9281.0	23136.0	22603.0	
4402801001 Argente sección 01001	9612.0	9281.0	23136.0	22603.0	
44029 Ariño	12559.0	12763.0	31463.0	31470.0	
4402901 Ariño distrito 01	12559.0	12763.0	31463.0	31470.0	
4402901001 Ariño sección 01001	12559.0	12763.0	31463.0	31470.0	
44031 Azaila	.	14028.0	.	25103.0	
4403101 Azaila distrito 01	.	14028.0	.	25103.0	
4403101001 Azaila sección 01001	.	14028.0	.	25103.0	
44032 Bádenas	.	.	.	.	
4403201 Bádenas distrito 01	.	.	.	.	
4403201001 Bádenas sección 01001	.	.	.	.	
44033 Báguena	10544.0	10615.0	22424.0	22664.0	
4403301 Báguena distrito 01	10544.0	10615.0	22424.0	22664.0	
4403301001 Báguena sección 01001	10544.0	10615.0	22424.0	22664.0	
44034 Bañón	9518.0	9560.0	22359.0	22595.0	
4403401 Bañón distrito 01	9518.0	9560.0	22359.0	22595.0	
4403401001 Bañón sección 01001	9518.0	9560.0	22359.0	22595.0	
44035 Barrachina	11753.0	11795.0	24949.0	25359.0	
4403501 Barrachina distrito 01	11753.0	11795.0	24949.0	25359.0	
4403501001 Barrachina sección 01001	11753.0	11795.0	24949.0	25359.0	
44036 Bea	.	.	.	.	
4403601 Bea distrito 01	.	.	.	.	
4403601001 Bea sección 01001	.	.	.	.	
44037 Beceite	9548.0	9497.0	23595.0	23615.0	
4403701 Beceite distrito 01	9548.0	9497.0	23595.0	23615.0	
4403701001 Beceite sección 01001	9548.0	9497.0	23595.0	23615.0	
44039 Bello	9664.0	9151.0	19901.0	18763.0	
4403901 Bello distrito 01	9664.0	9151.0	19901.0	18763.0	
4403901001 Bello sección 01001	9664.0	9151.0	19901.0	18763.0	
44038 Belmonte de San José	10901.0	11420.0	21802.0	22839.0	
4403801 Belmonte de San José distrito 01	10901.0	11420.0	21802.0	22839.0	
4403801001 Belmonte de San José sección 01001	10901.0	11420.0	21802.0	22839.0	
44040 Berge	10529.0	10306.0	25394.0	25204.0	
4404001 Berge distrito 01	10529.0	10306.0	25394.0	25204.0	
4404001001 Berge sección 01001	10529.0	10306.0	25394.0	25204.0	
44041 Bezas	.	.	.	.	
4404101 Bezas distrito 01	.	.	.	.	
4404101001 Bezas sección 01001	.	.	.	.	
44042 Blancas	7332.0	7576.0	15363.0	16735.0	
