Atlas de Distribución de Renta de los Hogares
Gipuzkoa
Indicadores de renta media
Unidades: Euros
	Renta media por persona 	Renta media por hogar	
2004503005 Irun sección 03005	10447.0	25945.0	
2004503006 Irun sección 03006	13709.0	34069.0	
2004503007 Irun sección 03007	10253.0	25137.0	
2004503008 Irun sección 03008	12464.0	30457.0	
2004503009 Irun sección 03009	12469.0	29756.0	
2004503010 Irun sección 03010	10981.0	27775.0	
2004503011 Irun sección 03011	12881.0	32489.0	
2004503012 Irun sección 03012	11802.0	29420.0	
2004503013 Irun sección 03013	11233.0	27714.0	
2004503014 Irun sección 03014	11286.0	26945.0	
2004503015 Irun sección 03015	13608.0	33921.0	
2004503016 Irun sección 03016	9104.0	22355.0	
2004503017 Irun sección 03017	15227.0	42161.0	
2004503018 Irun sección 03018	11553.0	26470.0	
2004503019 Irun sección 03019	16953.0	44544.0	
2004504 Irun distrito 04	12153.0	30209.0	
2004504001 Irun sección 04001	9804.0	23343.0	
2004504002 Irun sección 04002	10269.0	23904.0	
2004504003 Irun sección 04003	9952.0	23809.0	
2004504004 Irun sección 04004	14726.0	35147.0	
2004504005 Irun sección 04005	11116.0	24897.0	
2004504006 Irun sección 04006	11685.0	31925.0	
2004504007 Irun sección 04007	13070.0	34881.0	
2004504008 Irun sección 04008	13469.0	35917.0	
2004504009 Irun sección 04009	14888.0	38676.0	
20046 Irura	13787.0	35671.0	
2004601 Irura distrito 01	13787.0	35671.0	
2004601001 Irura sección 01001	13787.0	35671.0	
20047 Itsasondo	13262.0	33180.0	
2004701 Itsasondo distrito 01	13262.0	33180.0	
2004701001 Itsasondo sección 01001	13262.0	33180.0	
20048 Larraul	13075.0	36998.0	
2004801 Larraul distrito 01	13075.0	36998.0	
2004801001 Larraul sección 01001	13075.0	36998.0	
20902 Lasarte-Oria	13300.0	28659.0	
2090201 Lasarte-Oria distrito 01	13300.0	28659.0	
2090201001 Lasarte-Oria sección 01001	15196.0	34174.0	
2090201002 Lasarte-Oria sección 01002	12985.0	29862.0	
2090201003 Lasarte-Oria sección 01003	12645.0	27308.0	
2090201004 Lasarte-Oria sección 01004	12550.0	24413.0	
2090201005 Lasarte-Oria sección 01005	15750.0	34842.0	
2090201006 Lasarte-Oria sección 01006	12234.0	26014.0	
2090201007 Lasarte-Oria sección 01007	13217.0	27267.0	
2090201008 Lasarte-Oria sección 01008	12509.0	25857.0	
2090201009 Lasarte-Oria sección 01009	13634.0	30345.0	
2090201010 Lasarte-Oria sección 01010	11856.0	27040.0	
2090201011 Lasarte-Oria sección 01011	13027.0	27228.0	
2090201012 Lasarte-Oria sección 01012	12664.0	26905.0	
2090201013 Lasarte-Oria sección 01013	14803.0	32721.0	
20049 Lazkao	15189.0	38079.0	
2004901 Lazkao distrito 01	15189.0	38079.0	
2004901001 Lazkao sección 01001	15522.0	37649.0	
2004901002 Lazkao sección 01002	14437.0	36808.0	
2004901003 Lazkao sección 01003	15598.0	39902.0	
20050 Leaburu	13343.0	29533.0	
2005001 Leaburu distrito 01	13343.0	29533.0	
2005001001 Leaburu sección 01001	13343.0	29533.0	
20051 Legazpi	15428.0	32571.0	
2005101 Legazpi distrito 01	15428.0	32571.0	
2005101001 Legazpi sección 01001	16355.0	34718.0	
2005101002 Legazpi sección 01002	16285.0	34863.0	
2005101003 Legazpi sección 01003	14399.0	31248.0	
2005101004 Legazpi sección 01004	15238.0	30327.0	
2005101005 Legazpi sección 01005	14046.0	29513.0	
2005101006 Legazpi sección 01006	15669.0	34261.0	
2005101007 Legazpi sección 01007	14687.0	29939.0	
20052 Legorreta	13802.0	30061.0	
2005201 Legorreta distrito 01	13802.0	30061.0	
2005201001 Legorreta sección 01001	13802.0	30061.0	
20068 Leintz-Gatzaga	17297.0	40361.0	
2006801 Leintz-Gatzaga distrito 01	17297.0	40361.0	
2006801001 Leintz-Gatzaga sección 01001	17297.0	40361.0	
20053 Lezo	13089.0	30960.0	
2005301 Lezo distrito 01	13089.0	30960.0	
2005301001 Lezo sección 01001	13432.0	29807.0	
2005301002 Lezo sección 01002	13198.0	31824.0	
2005301003 Lezo sección 01003	11995.0	29219.0	
2005301004 Lezo sección 01004	13568.0	33477.0	
20054 Lizartza	13415.0	30185.0	
2005401 Lizartza distrito 01	13415.0	30185.0	
2005401001 Lizartza sección 01001	13415.0	30185.0	
20901 Mendaro	13817.0	36133.0	
2090101 Mendaro distrito 01	13817.0	36133.0	
2090101001 Mendaro sección 01001	13817.0	36133.0	
20057 Mutiloa	16823.0	40278.0	
2005701 Mutiloa distrito 01	16823.0	40278.0	
2005701001 Mutiloa sección 01001	16823.0	40278.0	
20056 Mutriku	13621.0	33723.0	
2005601 Mutriku distrito 01	13882.0	33361.0	
2005601001 Mutriku sección 01001	15000.0	37910.0	
2005601002 Mutriku sección 01002	13562.0	30991.0	
2005601003 Mutriku sección 01003	13200.0	31952.0	
2005602 Mutriku distrito 02	12263.0	36032.0	
2005602001 Mutriku sección 02001	12263.0	36032.0	
20063 Oiartzun	14299.0	37742.0	
2006301 Oiartzun distrito 01	14299.0	37742.0	
2006301001 Oiartzun sección 01001	16026.0	41335.0	
2006301002 Oiartzun sección 01002	13219.0	36240.0	
2006301003 Oiartzun sección 01003	14267.0	35906.0	
2006301004 Oiartzun sección 01004	13064.0	32677.0	
2006301005 Oiartzun sección 01005	12461.0	36515.0	
2006301006 Oiartzun sección 01006	15298.0	40882.0	
2006301007 Oiartzun sección 01007	15032.0	41010.0	
20058 Olaberria	15759.0	29615.0	
2005801 Olaberria distrito 01	15759.0	29615.0	
2005801001 Olaberria sección 01001	15759.0	29615.0	
20059 Oñati	17703.0	42367.0	
2005901 Oñati distrito 01	17702.0	41926.0	
2005901001 Oñati sección 01001	19342.0	45035.0	
2005901002 Oñati sección 01002	17648.0	41367.0	
2005901003 Oñati sección 01003	17262.0	39793.0	
2005901004 Oñati sección 01004	16125.0	36738.0	
2005901005 Oñati sección 01005	17062.0	38194.0	
2005901006 Oñati sección 01006	18984.0	46203.0	
2005901007 Oñati sección 01007	16806.0	42975.0	
2005902 Oñati distrito 02	17706.0	44732.0	
2005902001 Oñati sección 02001	17706.0	44732.0	
20076 Ordizia	14752.0	36268.0	
2007601 Ordizia distrito 01	14752.0	36268.0	
2007601001 Ordizia sección 01001	13562.0	31241.0	
2007601002 Ordizia sección 01002	12744.0	29983.0	
2007601003 Ordizia sección 01003	14789.0	35008.0	
2007601004 Ordizia sección 01004	17381.0	43572.0	
2007601005 Ordizia sección 01005	14314.0	33558.0	
2007601006 Ordizia sección 01006	12400.0	34152.0	
2007601008 Ordizia sección 01008	18089.0	45685.0	
20905 Orendain	14906.0	38461.0	
2090501 Orendain distrito 01	14906.0	38461.0	
2090501001 Orendain sección 01001	14906.0	38461.0	
20060 Orexa	13490.0	34265.0	
2006001 Orexa distrito 01	13490.0	34265.0	
2006001001 Orexa sección 01001	13490.0	34265.0	
20061 Orio	14432.0	36799.0	
2006101 Orio distrito 01	14432.0	36799.0	
2006101001 Orio sección 01001	14660.0	37549.0	
2006101002 Orio sección 01002	13652.0	34720.0	
2006101003 Orio sección 01003	14729.0	37492.0	
20062 Ormaiztegi	16989.0	40149.0	
2006201 Ormaiztegi distrito 01	16989.0	40149.0	
2006201001 Ormaiztegi sección 01001	16989.0	40149.0	
20064 Pasaia	12251.0	28492.0	
2006401 Pasaia distrito 01	12993.0	30827.0	
2006401001 Pasaia sección 01001	13672.0	31059.0	
2006401002 Pasaia sección 01002	12590.0	30679.0	
2006402 Pasaia distrito 02	13126.0	29401.0	
2006402001 Pasaia sección 02001	15533.0	32021.0	
2006402002 Pasaia sección 02002	11918.0	26181.0	
2006402003 Pasaia sección 02003	10788.0	27153.0	
2006402009 Pasaia sección 02009	14146.0	31559.0	
2006403 Pasaia distrito 03	12487.0	28531.0	
2006403001 Pasaia sección 03001	11782.0	26890.0	
2006403002 Pasaia sección 03002	13159.0	31123.0	
2006403003 Pasaia sección 03003	12527.0	27573.0	
2006404 Pasaia distrito 04	11308.0	27044.0	
2006404001 Pasaia sección 04001	11641.0	29599.0	
2006404002 Pasaia sección 04002	11563.0	25876.0	
2006404003 Pasaia sección 04003	11281.0	29008.0	
2006404004 Pasaia sección 04004	11269.0	27850.0	
2006404005 Pasaia sección 04005	10778.0	23929.0	
20070 Segura	16254.0	38078.0	
2007001 Segura distrito 01	16254.0	38078.0	
2007001001 Segura sección 01001	16254.0	38078.0	
20065 Soraluze-Placencia de las Armas	13658.0	30762.0	
2006501 Soraluze-Placencia de las Armas distrito 01	13755.0	30443.0	
2006501001 Soraluze-Placencia de las Armas sección 01001	14580.0	31792.0	
2006501002 Soraluze-Placencia de las Armas sección 01002	12783.0	28801.0	
2006502 Soraluze-Placencia de las Armas distrito 02	13508.0	31275.0	
2006502001 Soraluze-Placencia de las Armas sección 02001	13508.0	31275.0	
20071 Tolosa	15452.0	37075.0	
2007101 Tolosa distrito 01	13227.0	28363.0	
2007101001 Tolosa sección 01001	13590.0	29498.0	
2007101002 Tolosa sección 01002	12174.0	25165.0	
2007101003 Tolosa sección 01003	12966.0	26046.0	
2007101004 Tolosa sección 01004	13708.0	31186.0	
2007102 Tolosa distrito 02	16792.0	40992.0	
2007102001 Tolosa sección 02001	16534.0	39071.0	
2007102002 Tolosa sección 02002	17820.0	44374.0	
2007102003 Tolosa sección 02003	12924.0	31869.0	
2007102004 Tolosa sección 02004	16791.0	41375.0	
2007102005 Tolosa sección 02005	18802.0	45042.0	
2007103 Tolosa distrito 03	15534.0	39763.0	
2007103001 Tolosa sección 03001	16364.0	43302.0	
2007103002 Tolosa sección 03002	13198.0	33558.0	
2007103003 Tolosa sección 03003	16072.0	39750.0	
2007104 Tolosa distrito 04	15785.0	38441.0	
2007104001 Tolosa sección 04001	15491.0	37242.0	
2007104002 Tolosa sección 04002	16086.0	39709.0	
20072 Urnieta	13221.0	30516.0	
2007201 Urnieta distrito 01	13221.0	30516.0	
2007201001 Urnieta sección 01001	12898.0	30070.0	
2007201002 Urnieta sección 01002	12444.0	28908.0	
2007201003 Urnieta sección 01003	13640.0	30683.0	
2007201004 Urnieta sección 01004	13576.0	32076.0	
20077 Urretxu	15251.0	32474.0	
2007701 Urretxu distrito 01	15251.0	32474.0	
2007701001 Urretxu sección 01001	14943.0	30848.0	
2007701002 Urretxu sección 01002	13739.0	32092.0	
2007701003 Urretxu sección 01003	16008.0	33755.0	
2007701004 Urretxu sección 01004	17729.0	36631.0	
2007701005 Urretxu sección 01005	14541.0	32920.0	
2007701006 Urretxu sección 01006	15490.0	30043.0	
20073 Usurbil	14174.0	34582.0	
2007301 Usurbil distrito 01	14174.0	34582.0	
2007301001 Usurbil sección 01001	14272.0	35183.0	
2007301002 Usurbil sección 01002	13069.0	32224.0	
2007301003 Usurbil sección 01003	14017.0	33613.0	
2007301004 Usurbil sección 01004	15845.0	38655.0	
20075 Villabona	13306.0	26630.0	
2007501 Villabona distrito 01	13306.0	26630.0	
2007501001 Villabona sección 01001	13025.0	28158.0	
2007501002 Villabona sección 01002	12601.0	23021.0	
2007501003 Villabona sección 01003	14406.0	28763.0	
20078 Zaldibia	15299.0	35457.0	
2007801 Zaldibia distrito 01	15299.0	35457.0	
2007801001 Zaldibia sección 01001	15299.0	35457.0	
20079 Zarautz	15456.0	37386.0	
2007901 Zarautz distrito 01	14639.0	33367.0	
2007901001 Zarautz sección 01001	14105.0	32976.0	
2007901002 Zarautz sección 01002	15183.0	32869.0	
2007901003 Zarautz sección 01003	14901.0	34492.0	
2007902 Zarautz distrito 02	15664.0	38491.0	
2007902001 Zarautz sección 02001	23438.0	48616.0	
2007902002 Zarautz sección 02002	19066.0	46628.0	
2007902003 Zarautz sección 02003	13136.0	33320.0	
2007902004 Zarautz sección 02004	12598.0	33388.0	
2007902005 Zarautz sección 02005	13783.0	32020.0	
2007902006 Zarautz sección 02006	12852.0	34479.0	
2007902007 Zarautz sección 02007	14361.0	36141.0	
2007902008 Zarautz sección 02008	17297.0	38541.0	
2007902009 Zarautz sección 02009	14338.0	37748.0	
2007902010 Zarautz sección 02010	17367.0	43178.0	
2007902011 Zarautz sección 02011	14812.0	38430.0	
20025 Zegama	15455.0	36274.0	
2002501 Zegama distrito 01	15455.0	36274.0	
2002501001 Zegama sección 01001	15455.0	36274.0	
20026 Zerain	17448.0	40066.0	
2002601 Zerain distrito 01	17448.0	40066.0	
2002601001 Zerain sección 01001	17448.0	40066.0	
20027 Zestoa	13256.0	34246.0	
2002701 Zestoa distrito 01	13256.0	34246.0	
2002701001 Zestoa sección 01001	13206.0	33614.0	
2002701002 Zestoa sección 01002	13340.0	35351.0	
20028 Zizurkil	13756.0	35542.0	
2002801 Zizurkil distrito 01	13756.0	35542.0	
2002801001 Zizurkil sección 01001	14814.0	39866.0	
2002801002 Zizurkil sección 01002	12005.0	29095.0	
20081 Zumaia	14852.0	38829.0	
2008101 Zumaia distrito 01	14852.0	38829.0	
2008101001 Zumaia sección 01001	17229.0	44550.0	
2008101002 Zumaia sección 01002	14549.0	38157.0	
2008101003 Zumaia sección 01003	14195.0	37954.0	
2008101004 Zumaia sección 01004	13259.0	31227.0	
2008101005 Zumaia sección 01005	15437.0	41540.0	
2008101006 Zumaia sección 01006	12758.0	35836.0	
20080 Zumarraga	14783.0	31143.0	
2008001 Zumarraga distrito 01	14783.0	31143.0	
2008001001 Zumarraga sección 01001	15701.0	35398.0	
2008001002 Zumarraga sección 01002	15755.0	31207.0	
2008001003 Zumarraga sección 01003	15327.0	31991.0	
2008001004 Zumarraga sección 01004	15285.0	29170.0	
2008001005 Zumarraga sección 01005	13901.0	30726.0	
2008001006 Zumarraga sección 01006	13569.0	28171.0	
2008001007 Zumarraga sección 01007	16326.0	36748.0	
2008001008 Zumarraga sección 01008	14415.0	29543.0	
Notas:
Estadística experimental
Fuente: Instituto Nacional de Estadística
