Atlas de Distribución de Renta de los Hogares
Gipuzkoa
Indicadores de renta media
Unidades: Euros
	Renta media por persona 	Renta media por hogar	
2001801008 Azpeitia sección 01008	13795.0	29521.0	
2001801009 Azpeitia sección 01009	15217.0	37321.0	
20904 Baliarrain	13470.0	35835.0	
2090401 Baliarrain distrito 01	13470.0	35835.0	
2090401001 Baliarrain sección 01001	13470.0	35835.0	
20019 Beasain	16353.0	39885.0	
2001901 Beasain distrito 01	16353.0	39885.0	
2001901001 Beasain sección 01001	11596.0	27501.0	
2001901002 Beasain sección 01002	18149.0	43149.0	
2001901003 Beasain sección 01003	17327.0	41163.0	
2001901004 Beasain sección 01004	19349.0	44120.0	
2001901005 Beasain sección 01005	15717.0	39685.0	
2001901007 Beasain sección 01007	16421.0	42969.0	
2001901008 Beasain sección 01008	15010.0	34164.0	
2001901009 Beasain sección 01009	14127.0	35744.0	
20020 Beizama	13186.0	29045.0	
2002001 Beizama distrito 01	13186.0	29045.0	
2002001001 Beizama sección 01001	13186.0	29045.0	
20021 Belauntza	15179.0	31797.0	
2002101 Belauntza distrito 01	15179.0	31797.0	
2002101001 Belauntza sección 01001	15179.0	31797.0	
20022 Berastegi	14008.0	34461.0	
2002201 Berastegi distrito 01	14008.0	34461.0	
2002201001 Berastegi sección 01001	14008.0	34461.0	
20074 Bergara	16104.0	34288.0	
2007401 Bergara distrito 01	17165.0	35161.0	
2007401001 Bergara sección 01001	16357.0	37002.0	
2007401002 Bergara sección 01002	16767.0	34778.0	
2007401003 Bergara sección 01003	15887.0	30146.0	
2007401004 Bergara sección 01004	14981.0	28437.0	
2007401005 Bergara sección 01005	20045.0	40204.0	
2007402 Bergara distrito 02	15098.0	33039.0	
2007402001 Bergara sección 02001	15734.0	33023.0	
2007402002 Bergara sección 02002	14888.0	30194.0	
2007402003 Bergara sección 02003	14910.0	34040.0	
2007403 Bergara distrito 03	15172.0	33895.0	
2007403001 Bergara sección 03001	15660.0	37473.0	
2007403002 Bergara sección 03002	13164.0	28267.0	
2007403003 Bergara sección 03003	16525.0	34867.0	
20023 Berrobi	13635.0	33261.0	
2002301 Berrobi distrito 01	13635.0	33261.0	
2002301001 Berrobi sección 01001	13635.0	33261.0	
20024 Bidania-Goiatz	12945.0	31985.0	
2002401 Bidania-Goiatz distrito 01	12945.0	31985.0	
2002401001 Bidania-Goiatz sección 01001	12945.0	31985.0	
20029 Deba	15328.0	35483.0	
2002901 Deba distrito 01	15593.0	34108.0	
2002901001 Deba sección 01001	17000.0	36341.0	
2002901002 Deba sección 01002	14330.0	30994.0	
2002901003 Deba sección 01003	15411.0	35946.0	
2002902 Deba distrito 02	14174.0	43979.0	
2002902001 Deba sección 02001	14174.0	43979.0	
20069 Donostia/San Sebastián	17203.0	41167.0	
2006901 Donostia/San Sebastián distrito 01	18194.0	40355.0	
2006901001 Donostia/San Sebastián sección 01001	15287.0	33902.0	
2006901002 Donostia/San Sebastián sección 01002	21944.0	47516.0	
2006901003 Donostia/San Sebastián sección 01003	14445.0	32876.0	
2006901005 Donostia/San Sebastián sección 01005	20390.0	46976.0	
2006901006 Donostia/San Sebastián sección 01006	22571.0	47197.0	
2006901007 Donostia/San Sebastián sección 01007	14924.0	33623.0	
2006902 Donostia/San Sebastián distrito 02	23589.0	50422.0	
2006902001 Donostia/San Sebastián sección 02001	24104.0	54166.0	
2006902002 Donostia/San Sebastián sección 02002	26175.0	52650.0	
2006902004 Donostia/San Sebastián sección 02004	24336.0	50186.0	
2006902005 Donostia/San Sebastián sección 02005	19325.0	42125.0	
2006902006 Donostia/San Sebastián sección 02006	22625.0	47768.0	
2006902007 Donostia/San Sebastián sección 02007	25923.0	55883.0	
2006902008 Donostia/San Sebastián sección 02008	24228.0	53151.0	
2006902009 Donostia/San Sebastián sección 02009	20045.0	44850.0	
2006903 Donostia/San Sebastián distrito 03	17417.0	41028.0	
2006903001 Donostia/San Sebastián sección 03001	23554.0	51264.0	
2006903002 Donostia/San Sebastián sección 03002	29364.0	64818.0	
2006903003 Donostia/San Sebastián sección 03003	18722.0	40513.0	
2006903004 Donostia/San Sebastián sección 03004	19363.0	47216.0	
2006903005 Donostia/San Sebastián sección 03005	15525.0	35023.0	
2006903006 Donostia/San Sebastián sección 03006	12690.0	26419.0	
2006903007 Donostia/San Sebastián sección 03007	15819.0	34348.0	
2006903008 Donostia/San Sebastián sección 03008	17863.0	39209.0	
2006903009 Donostia/San Sebastián sección 03009	17135.0	40395.0	
2006903010 Donostia/San Sebastián sección 03010	20657.0	51456.0	
2006903011 Donostia/San Sebastián sección 03011	17730.0	37051.0	
2006903012 Donostia/San Sebastián sección 03012	20879.0	53341.0	
2006903013 Donostia/San Sebastián sección 03013	14077.0	29558.0	
2006903014 Donostia/San Sebastián sección 03014	16118.0	36317.0	
2006903015 Donostia/San Sebastián sección 03015	16192.0	40700.0	
2006903016 Donostia/San Sebastián sección 03016	17665.0	41073.0	
2006903017 Donostia/San Sebastián sección 03017	15564.0	35498.0	
2006903018 Donostia/San Sebastián sección 03018	15459.0	36850.0	
2006903019 Donostia/San Sebastián sección 03019	18081.0	46552.0	
2006903020 Donostia/San Sebastián sección 03020	15512.0	41831.0	
2006903021 Donostia/San Sebastián sección 03021	12365.0	27963.0	
2006903022 Donostia/San Sebastián sección 03022	14578.0	34278.0	
2006903024 Donostia/San Sebastián sección 03024	17857.0	40285.0	
2006903025 Donostia/San Sebastián sección 03025	19459.0	45643.0	
2006903026 Donostia/San Sebastián sección 03026	16995.0	38023.0	
2006903027 Donostia/San Sebastián sección 03027	16554.0	39803.0	
2006903028 Donostia/San Sebastián sección 03028	14270.0	30972.0	
2006903029 Donostia/San Sebastián sección 03029	18067.0	43646.0	
2006903030 Donostia/San Sebastián sección 03030	18785.0	46436.0	
2006903031 Donostia/San Sebastián sección 03031	18005.0	46886.0	
2006903032 Donostia/San Sebastián sección 03032	17414.0	42988.0	
2006903033 Donostia/San Sebastián sección 03033	""	""	
2006904 Donostia/San Sebastián distrito 04	15922.0	36733.0	
2006904001 Donostia/San Sebastián sección 04001	22352.0	47694.0	
2006904002 Donostia/San Sebastián sección 04002	20991.0	50862.0	
2006904003 Donostia/San Sebastián sección 04003	18042.0	39020.0	
2006904004 Donostia/San Sebastián sección 04004	18834.0	45313.0	
2006904005 Donostia/San Sebastián sección 04005	19101.0	46657.0	
2006904006 Donostia/San Sebastián sección 04006	19029.0	39747.0	
2006904007 Donostia/San Sebastián sección 04007	16045.0	40768.0	
2006904008 Donostia/San Sebastián sección 04008	14770.0	33391.0	
2006904009 Donostia/San Sebastián sección 04009	14512.0	32466.0	
2006904010 Donostia/San Sebastián sección 04010	14778.0	34768.0	
2006904011 Donostia/San Sebastián sección 04011	15342.0	37470.0	
2006904012 Donostia/San Sebastián sección 04012	15069.0	31109.0	
2006904013 Donostia/San Sebastián sección 04013	15846.0	36912.0	
2006904014 Donostia/San Sebastián sección 04014	15303.0	37241.0	
2006904015 Donostia/San Sebastián sección 04015	12263.0	29233.0	
2006904016 Donostia/San Sebastián sección 04016	13262.0	27275.0	
2006904017 Donostia/San Sebastián sección 04017	13570.0	30813.0	
2006904018 Donostia/San Sebastián sección 04018	14205.0	34379.0	
2006904019 Donostia/San Sebastián sección 04019	16913.0	35823.0	
2006904020 Donostia/San Sebastián sección 04020	10785.0	27323.0	
2006905 Donostia/San Sebastián distrito 05	17995.0	41482.0	
2006905001 Donostia/San Sebastián sección 05001	20486.0	42890.0	
2006905002 Donostia/San Sebastián sección 05002	16281.0	37895.0	
2006905003 Donostia/San Sebastián sección 05003	15924.0	36800.0	
2006905004 Donostia/San Sebastián sección 05004	16404.0	34864.0	
2006905005 Donostia/San Sebastián sección 05005	18290.0	41210.0	
2006905006 Donostia/San Sebastián sección 05006	17954.0	40975.0	
2006905007 Donostia/San Sebastián sección 05007	16220.0	33224.0	
2006905008 Donostia/San Sebastián sección 05008	16801.0	38303.0	
2006905009 Donostia/San Sebastián sección 05009	19240.0	43764.0	
2006905010 Donostia/San Sebastián sección 05010	20830.0	45993.0	
2006905011 Donostia/San Sebastián sección 05011	18609.0	40670.0	
2006905012 Donostia/San Sebastián sección 05012	18992.0	47340.0	
2006905013 Donostia/San Sebastián sección 05013	17331.0	41797.0	
2006905014 Donostia/San Sebastián sección 05014	18449.0	49095.0	
2006906 Donostia/San Sebastián distrito 06	20005.0	51144.0	
2006906001 Donostia/San Sebastián sección 06001	29364.0	72275.0	
2006906002 Donostia/San Sebastián sección 06002	23660.0	53094.0	
2006906003 Donostia/San Sebastián sección 06003	14620.0	33740.0	
2006906004 Donostia/San Sebastián sección 06004	16244.0	37933.0	
2006906005 Donostia/San Sebastián sección 06005	16363.0	39910.0	
2006906006 Donostia/San Sebastián sección 06006	18033.0	38912.0	
2006906007 Donostia/San Sebastián sección 06007	29364.0	76572.0	
2006906008 Donostia/San Sebastián sección 06008	13417.0	32056.0	
2006906009 Donostia/San Sebastián sección 06009	26264.0	72270.0	
2006906010 Donostia/San Sebastián sección 06010	18406.0	48069.0	
2006906011 Donostia/San Sebastián sección 06011	29364.0	89015.0	
2006906012 Donostia/San Sebastián sección 06012	15341.0	40278.0	
2006906013 Donostia/San Sebastián sección 06013	15809.0	40632.0	
2006906014 Donostia/San Sebastián sección 06014	22419.0	59104.0	
2006906015 Donostia/San Sebastián sección 06015	15802.0	43849.0	
2006906016 Donostia/San Sebastián sección 06016	17878.0	52663.0	
2006906017 Donostia/San Sebastián sección 06017	22738.0	62940.0	
2006906018 Donostia/San Sebastián sección 06018	26391.0	71384.0	
2006906019 Donostia/San Sebastián sección 06019	16874.0	45450.0	
2006906020 Donostia/San Sebastián sección 06020	24084.0	69890.0	
2006906021 Donostia/San Sebastián sección 06021	20550.0	51404.0	
2006906022 Donostia/San Sebastián sección 06022	18343.0	45428.0	
2006906023 Donostia/San Sebastián sección 06023	14973.0	38044.0	
2006906024 Donostia/San Sebastián sección 06024	24833.0	60031.0	
2006906025 Donostia/San Sebastián sección 06025	16409.0	39292.0	
2006906026 Donostia/San Sebastián sección 06026	22857.0	59565.0	
2006906027 Donostia/San Sebastián sección 06027	26382.0	77918.0	
2006906028 Donostia/San Sebastián sección 06028	17108.0	44211.0	
2006906029 Donostia/San Sebastián sección 06029	15995.0	38972.0	
2006906030 Donostia/San Sebastián sección 06030	16883.0	45356.0	
2006907 Donostia/San Sebastián distrito 07	13024.0	31746.0	
2006907001 Donostia/San Sebastián sección 07001	12142.0	30196.0	
2006907002 Donostia/San Sebastián sección 07002	12908.0	32930.0	
2006907003 Donostia/San Sebastián sección 07003	18477.0	49820.0	
2006907004 Donostia/San Sebastián sección 07004	12652.0	27943.0	
2006907005 Donostia/San Sebastián sección 07005	12240.0	26297.0	
2006907006 Donostia/San Sebastián sección 07006	14401.0	35759.0	
2006907007 Donostia/San Sebastián sección 07007	15673.0	37468.0	
2006907008 Donostia/San Sebastián sección 07008	12558.0	30901.0	
2006907009 Donostia/San Sebastián sección 07009	13541.0	30039.0	
2006907010 Donostia/San Sebastián sección 07010	16862.0	41238.0	
2006907011 Donostia/San Sebastián sección 07011	11566.0	25425.0	
2006907012 Donostia/San Sebastián sección 07012	11592.0	25273.0	
2006907013 Donostia/San Sebastián sección 07013	13855.0	35663.0	
2006907014 Donostia/San Sebastián sección 07014	11971.0	28232.0	
2006907015 Donostia/San Sebastián sección 07015	13970.0	35038.0	
2006907016 Donostia/San Sebastián sección 07016	11842.0	28306.0	
2006907017 Donostia/San Sebastián sección 07017	12173.0	30969.0	
2006907018 Donostia/San Sebastián sección 07018	12532.0	31291.0	
2006907019 Donostia/San Sebastián sección 07019	10725.0	24246.0	
2006907020 Donostia/San Sebastián sección 07020	12546.0	29683.0	
2006907021 Donostia/San Sebastián sección 07021	10884.0	25222.0	
2006907022 Donostia/San Sebastián sección 07022	11423.0	26495.0	
2006907023 Donostia/San Sebastián sección 07023	11681.0	28321.0	
2006907024 Donostia/San Sebastián sección 07024	11676.0	29261.0	
2006907025 Donostia/San Sebastián sección 07025	10832.0	24084.0	
2006907026 Donostia/San Sebastián sección 07026	12903.0	33956.0	
2006907027 Donostia/San Sebastián sección 07027	12680.0	30457.0	
2006907028 Donostia/San Sebastián sección 07028	12733.0	31640.0	
2006907030 Donostia/San Sebastián sección 07030	12162.0	31816.0	
2006907031 Donostia/San Sebastián sección 07031	14244.0	35046.0	
2006907032 Donostia/San Sebastián sección 07032	12244.0	30663.0	
2006907033 Donostia/San Sebastián sección 07033	13995.0	37565.0	
2006907034 Donostia/San Sebastián sección 07034	14497.0	36750.0	
20030 Eibar	15101.0	34811.0	
2003001 Eibar distrito 01	16516.0	37725.0	
2003001001 Eibar sección 01001	21537.0	49982.0	
2003001002 Eibar sección 01002	17177.0	39209.0	
2003001003 Eibar sección 01003	16751.0	36283.0	
2003001004 Eibar sección 01004	14198.0	32285.0	
2003001005 Eibar sección 01005	12360.0	29095.0	
2003002 Eibar distrito 02	13494.0	30918.0	
2003002001 Eibar sección 02001	13981.0	31783.0	
2003002002 Eibar sección 02002	12964.0	29533.0	
2003002003 Eibar sección 02003	12939.0	29603.0	
2003002004 Eibar sección 02004	13092.0	30317.0	
2003002005 Eibar sección 02005	14491.0	33256.0	
2003003 Eibar distrito 03	14094.0	31210.0	
2003003001 Eibar sección 03001	12617.0	26746.0	
2003003003 Eibar sección 03003	15803.0	36427.0	
2003003004 Eibar sección 03004	14883.0	34461.0	
2003004 Eibar distrito 04	16463.0	38080.0	
2003004001 Eibar sección 04001	14046.0	32307.0	
2003004002 Eibar sección 04002	16441.0	37900.0	
2003004003 Eibar sección 04003	22142.0	50270.0	
2003004004 Eibar sección 04004	17509.0	40401.0	
2003004005 Eibar sección 04005	14295.0	33889.0	
2003004006 Eibar sección 04006	14075.0	32841.0	
2003005 Eibar distrito 05	14031.0	33786.0	
2003005001 Eibar sección 05001	13232.0	30960.0	
2003005002 Eibar sección 05002	18436.0	43378.0	
2003005003 Eibar sección 05003	12204.0	29719.0	
2003005004 Eibar sección 05004	14142.0	35214.0	
20031 Elduain	14530.0	32934.0	
2003101 Elduain distrito 01	14530.0	32934.0	
2003101001 Elduain sección 01001	14530.0	32934.0	
20033 Elgeta	15227.0	33540.0	
2003301 Elgeta distrito 01	15227.0	33540.0	
2003301001 Elgeta sección 01001	15227.0	33540.0	
20032 Elgoibar	14844.0	35909.0	
2003201 Elgoibar distrito 01	14844.0	35909.0	
2003201001 Elgoibar sección 01001	14181.0	33952.0	
2003201002 Elgoibar sección 01002	14260.0	31599.0	
2003201003 Elgoibar sección 01003	15372.0	37895.0	
2003201004 Elgoibar sección 01004	13058.0	29296.0	
2003201005 Elgoibar sección 01005	15436.0	38309.0	
2003201006 Elgoibar sección 01006	14098.0	29919.0	
2003201007 Elgoibar sección 01007	17286.0	43150.0	
2003201008 Elgoibar sección 01008	13784.0	34761.0	
2003201010 Elgoibar sección 01010	15123.0	43384.0	
20067 Errenteria	12550.0	30031.0	
2006701 Errenteria distrito 01	12550.0	30031.0	
2006701001 Errenteria sección 01001	12978.0	26543.0	
2006701002 Errenteria sección 01002	13443.0	30524.0	
2006701003 Errenteria sección 01003	12853.0	28044.0	
2006701004 Errenteria sección 01004	12838.0	30359.0	
2006701005 Errenteria sección 01005	13142.0	34918.0	
2006701006 Errenteria sección 01006	14874.0	33106.0	
2006701007 Errenteria sección 01007	10848.0	26353.0	
2006701008 Errenteria sección 01008	10388.0	25011.0	
2006701009 Errenteria sección 01009	13678.0	31033.0	
2006701010 Errenteria sección 01010	12598.0	28904.0	
2006701013 Errenteria sección 01013	11662.0	23923.0	
2006701014 Errenteria sección 01014	11641.0	26092.0	
